"game_id","game_date","home_team","away_team","home_score","away_score","actual_margin","actual_total","proj_home","proj_away","proj_spread","proj_total","model_id","model_name","model_fav","model_fav_spread","ats_result","ats_pnl","ml_result","ou_result","ou_pnl","impl_ml_home","impl_ml_away","graded_at"
"6539260",2026-01-30,"Delaware","Utah",9,16,-7,25,6,18,-12,24,"v1","Baseline (40/40/20)","Utah",-12,"No Cover",-100,"Correct","Over",90.91,2500,-2500,"2026-03-16 19:32"
"6538969",2026-01-31,"Army West Point","Massachusetts",14,8,6,22,10.5,9.5,1,20,"v1","Baseline (40/40/20)","Army West Point",-1,"Cover",90.91,"Correct","Over",90.91,-158,158,"2026-03-16 19:32"
"6539171",2026-01-31,"Denver","Cleveland St.",20,1,19,21,13,5,8,18,"v1","Baseline (40/40/20)","Denver",-8,"Cover",90.91,"Correct","Over",90.91,-2500,2500,"2026-03-16 19:32"
"6539542",2026-01-31,"Holy Cross","Providence",10,15,-5,25,9.5,10,-0.5,19.5,"v1","Baseline (40/40/20)","Providence",-0.5,"Cover",90.91,"Correct","Over",90.91,126,-126,"2026-03-16 19:32"
"6539062",2026-01-31,"Jacksonville","Rutgers",10,11,-1,21,12,9,3,21,"v1","Baseline (40/40/20)","Jacksonville",-3,"No Cover",-100,"Incorrect","Push",0,-411,411,"2026-03-16 19:32"
"6539586",2026-01-31,"Mercer","Hampton",18,9,9,27,14.5,12,2.5,26.5,"v1","Baseline (40/40/20)","Mercer",-2.5,"Cover",90.91,"Correct","Over",90.91,-321,321,"2026-03-16 19:32"
"6539485",2026-02-01,"Air Force","Lafayette",13,12,1,25,7.5,16.5,-9,24,"v1","Baseline (40/40/20)","Lafayette",-9,"No Cover",-100,"Incorrect","Over",90.91,2500,-2500,"2026-03-16 19:32"
"6539240",2026-02-01,"Bucknell","Manhattan",14,8,6,22,14.5,8,6.5,22.5,"v1","Baseline (40/40/20)","Bucknell",-6.5,"No Cover",-100,"Correct","Under",-100,-2500,2500,"2026-03-16 19:32"
"6539152",2026-02-01,"Ohio St.","Detroit Mercy",19,3,16,22,16,5,11,21,"v1","Baseline (40/40/20)","Ohio St.",-11,"Cover",90.91,"Correct","Over",90.91,-2500,2500,"2026-03-16 19:32"
"6539598",2026-02-01,"Penn St.","Colgate",18,14,4,32,19.5,9.5,10,29,"v1","Baseline (40/40/20)","Penn St.",-10,"No Cover",-100,"Correct","Over",90.91,-2500,2500,"2026-03-16 19:32"
"6539554",2026-02-01,"Syracuse","Boston U.",13,6,7,19,12.5,10,2.5,22.5,"v1","Baseline (40/40/20)","Syracuse",-2.5,"Cover",90.91,"Correct","Under",-100,-321,321,"2026-03-16 19:32"
"6539727",2026-02-02,"Duke","Bellarmine",23,8,15,31,23.5,7.5,16,31,"v1","Baseline (40/40/20)","Duke",-16,"No Cover",-100,"Correct","Push",0,-2500,2500,"2026-03-16 19:32"
"6539081",2026-02-02,"Iona","Hofstra",7,14,-7,21,5.5,10,-4.5,15.5,"v1","Baseline (40/40/20)","Hofstra",-4.5,"Cover",90.91,"Correct","Over",90.91,907,-907,"2026-03-16 19:32"
"6539755",2026-02-02,"Johns Hopkins","Robert Morris",17,2,15,19,13,8.5,4.5,21.5,"v1","Baseline (40/40/20)","Johns Hopkins",-4.5,"Cover",90.91,"Correct","Under",-100,-907,907,"2026-03-16 19:32"
