"home_team","away_team","FanDuel_spread_home","FanDuel_spread_juice_home","FanDuel_spread_away","FanDuel_spread_juice_away","FanDuel_ml_home","FanDuel_ml_away","FanDuel_total","FanDuel_total_over_juice","FanDuel_total_under_juice","FanDuel_last_update","DraftKings_spread_home","DraftKings_spread_juice_home","DraftKings_spread_away","DraftKings_spread_juice_away","DraftKings_ml_home","DraftKings_ml_away","DraftKings_total","DraftKings_total_over_juice","DraftKings_total_under_juice","DraftKings_last_update","BetMGM_spread_home","BetMGM_spread_juice_home","BetMGM_spread_away","BetMGM_spread_juice_away","BetMGM_ml_home","BetMGM_ml_away","BetMGM_total","BetMGM_total_over_juice","BetMGM_total_under_juice","BetMGM_last_update","proj_home","proj_away","proj_spread","proj_total","scraped_at"
"Denver","Syracuse",3.5,100,-3.5,-122,340,-470,20.5,-128,104,"2026-03-16T19:43:48Z",3.5,100,-3.5,-130,340,-500,20.5,-115,-115,"2026-03-16T19:43:07Z",3.5,-102,-3.5,-125,350,-525,20.5,-115,-115,"2026-03-16T19:43:18Z",9.5,6.5,3,16,"2026-03-16 11:43:52"
"Brown Bears","UMass Lowell",-9.5,-122,9.5,100,-10000,2500,22.5,-105,-115,"2026-03-16T19:43:48Z",-9.5,-115,9.5,-115,-10000,2200,22.5,-115,-115,"2026-03-16T19:43:07Z",-9.5,-115,9.5,-115,-10000,2200,22.5,-115,-115,"2026-03-16T19:43:18Z",NA,NA,NA,NA,"2026-03-16 11:43:52"
"Loyola (MD)","Georgetown",3.5,-124,-3.5,102,285,-375,22.5,-118,-104,"2026-03-16T19:43:48Z",3.5,-135,-3.5,105,290,-410,23.5,-115,-115,"2026-03-16T19:43:07Z",3.5,-130,-3.5,100,290,-425,23.5,-115,-115,"2026-03-16T19:43:18Z",NA,NA,NA,NA,"2026-03-16 11:43:52"
"Lehigh","Villanova",-1.5,116,1.5,-142,-128,104,22.5,-122,100,"2026-03-16T19:43:48Z",-1.5,110,1.5,-140,-135,105,23,-115,-115,"2026-03-16T19:43:07Z",-1.5,110,1.5,-140,-135,105,23.5,100,-130,"2026-03-16T19:43:18Z",11.5,10.5,1,22,"2026-03-16 11:43:52"
"Providence","Quinnipiac",-8.5,-110,8.5,-110,-4500,1300,23.5,-105,-115,"2026-03-16T19:43:48Z",-8.5,-115,8.5,-115,-4800,1600,23.5,-115,-115,"2026-03-16T19:43:07Z",-8.5,-115,8.5,-115,-10000,1700,23.5,-115,-115,"2026-03-16T19:43:18Z",15,8,7,23,"2026-03-16 11:43:52"
"Dartmouth Big Green","Harvard",5.5,102,-5.5,-124,630,-1050,25.5,-105,-115,"2026-03-16T19:43:48Z",6,-115,-6,-115,650,-1150,25.5,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-03-16 11:43:52"
"Navy","Lafayette",-3.5,100,3.5,-122,-355,270,22.5,-110,-110,"2026-03-16T19:43:48Z",-3,-115,3,-115,-345,250,22.5,-120,-110,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,11,2.5,24.5,"2026-03-16 11:43:52"
"Virginia","Utah Utes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,-115,3.5,-115,-425,300,25.5,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-03-16 11:43:52"
"Princeton","Cornell Big Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5,-105,2.5,-125,-250,190,24.5,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-03-16 11:43:52"
"Johns Hopkins","Michigan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.5,-105,3.5,-125,-410,290,21.5,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,10.5,2.5,23.5,"2026-03-16 11:43:52"
"UMass","Richmond Spiders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,-115,-6,-115,750,-1450,21.5,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-03-16 11:43:52"
"Yale","Pennsylvania Quakers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,-135,-1.5,105,110,-140,23,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-03-16 11:43:52"
"Rutgers","Ohio St.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,-125,-3.5,-105,300,-425,19.5,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,9,-1.5,16.5,"2026-03-16 11:43:52"
"Penn St.","Maryland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5,114,1.5,-145,-130,100,22,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,4,26,"2026-03-16 11:43:52"
"North Carolina","Army Knights",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4,-115,4,-115,-540,360,22,-115,-115,"2026-03-16T19:43:07Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2026-03-16 11:43:52"
