"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","RPI_Rank","RPI_Value","Conference","Games_Played","SOS","SOS_High","SOS_Low","SOS_Rank","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Air Force",7,61,8.71,7,108,15.43,7,76,111,187,0.406,7,6,17,0.353,7,6,18,0.667,1,6,0.143,7,61,108,-6.71,7,34,4.86,7,67,9.57,7,61,34,95,13.57,7,190,27.14,7,109,15.57,7,58,8.29,7,61,253,0.241,7,112,145,0.772,2026,2026-03-21,59,85,0.4097,NA,NA,34,NA,"SoCon",8,4.406,12.91,-2.28,1,-5.29,-7.16,-10.43,-9.04,-0.8629,12.07,72,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Army West Point",8,96,12,8,66,8.25,8,93,96,189,0.492,8,4,16,0.25,8,4,22,0.818,6,2,0.75,8,96,66,3.75,8,52,6.5,8,105,13.12,8,96,52,148,18.5,8,239,29.88,8,124,15.5,8,74,9.25,8,96,356,0.27,8,167,191,0.874,2026,2026-03-21,98,62,0.6125,8,16,8,NA,"Patriot League",8,1.005,4.85,-7.6,24,-0.66,7.28,3.68,4.62,0.1578,10.12,11,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Bellarmine",10,107,10.7,10,150,15,10,105,182,287,0.366,10,15,30,0.5,10,18,35,0.486,4,6,0.4,10,107,150,-4.3,10,60,6,10,154,15.4,10,107,60,167,16.7,10,267,26.7,10,196,19.6,10,67,6.7,10,107,319,0.335,10,192,247,0.777,2026,2026-03-21,140,129,0.5204,NA,NA,27,NA,"ASUN",11,2.36,12.91,-5.92,12,2.68,-9.24,-7.94,-5.41,0.0318,12.85,65,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Binghamton",7,63,9,7,67,9.57,7,70,84,154,0.455,7,4,20,0.2,7,4,24,0.833,2,5,0.286,7,63,67,-0.57,7,29,4.14,7,106,15.14,7,63,29,92,13.14,7,172,24.57,7,117,16.71,7,51,7.29,7,63,277,0.227,7,128,150,0.853,2026,2026-03-21,103,67,0.6059,NA,NA,62,NA,"America East",7,-0.59,3.2,-4.13,46,-7.13,4.16,-0.37,-0.19,-0.1489,9.29,41,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Boston U.",7,92,13.14,7,72,10.29,7,98,87,185,0.53,7,10,22,0.455,7,7,21,0.667,5,2,0.714,7,92,72,2.86,7,58,8.29,7,78,11.14,7,92,58,150,21.43,7,255,36.43,7,111,15.86,7,94,13.43,7,92,319,0.288,7,159,183,0.869,2026,2026-03-21,71,68,0.5108,NA,NA,4,NA,"Patriot League",7,2.12,7.48,-2.82,13,4.2,4.31,3.62,4.39,0.1578,11.71,14,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Brown",7,72,10.29,7,75,10.71,7,84,83,167,0.503,7,8,19,0.421,7,11,27,0.593,4,3,0.571,7,72,75,-0.43,7,42,6,7,93,13.29,7,72,42,114,16.29,7,209,29.86,7,103,14.71,7,52,7.43,7,72,271,0.266,7,126,148,0.851,2026,2026-03-21,89,71,0.5562,NA,NA,25,NA,"Ivy League",8,-0.005,7.83,-4.13,37,-0.69,-0.35,1.48,0.27,0.1595,10.5,35,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Bryant",6,55,9.17,6,73,12.17,6,76,74,150,0.507,6,6,24,0.25,6,12,27,0.556,2,4,0.333,6,55,73,-3,6,31,5.17,6,70,11.67,6,55,31,86,14.33,6,185,30.83,6,106,17.67,6,50,8.33,6,55,239,0.23,6,107,129,0.829,2026,2026-03-21,70,67,0.5109,NA,NA,72,NA,"America East",6,-2.867,0.26,-6.7,70,-6.45,-2.78,-0.21,-3.57,-0.1489,10.67,60,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Bucknell",8,103,12.88,8,83,10.38,8,121,91,212,0.571,8,8,20,0.4,8,11,22,0.5,6,2,0.75,8,103,83,2.5,8,69,8.62,8,65,8.12,8,103,69,172,21.5,8,261,32.62,8,118,14.75,8,59,7.38,8,103,354,0.291,8,151,177,0.853,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,38,NA,"Patriot League",8,-1.939,2.52,-9.02,62,3.72,-0.83,3.57,1.59,0.1578,11.63,27,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Canisius",8,70,8.75,8,78,9.75,8,102,69,171,0.596,8,10,31,0.323,8,10,24,0.583,3,5,0.375,8,70,78,-1,8,37,4.62,8,79,9.88,8,70,37,107,13.38,8,264,33,8,179,22.38,8,76,9.5,8,70,269,0.26,8,132,176,0.75,2026,2026-03-21,NA,NA,0.514734848484849,NA,NA,74,NA,"MAAC",9,-2.927,2.43,-9.02,72,-6.99,2.26,2.15,-1.26,-0.3947,9.25,48,"v3","Defense Heavy (30/50/20)","2026-03-21"
"Cleveland St.",7,61,8.71,7,82,11.71,7,77,89,166,0.464,7,9,19,0.474,7,6,21,0.714,3,4,0.429,7,61,82,-3,7,38,5.43,7,82,11.71,7,61,38,99,14.14,7,195,27.86,7,133,19,7,62,8.86,7,61,240,0.254,7,126,161,0.783,2026,2026-03-21,58,59,0.4957,NA,NA,51,NA,"Horizon League",8,0.534,8.4,-3.97,32,-5.57,0.02,-4.57,-3.53,-0.5141,10.21,59,"v3","Defense Heavy (30/50/20)","2026-03-21"
