"team","games_graded","ats_cover","ats_no_cover","ats_push","ats_record","ats_pct","ml_correct","ml_incorrect","ml_record","ml_pct","ou_over","ou_under","ou_push","ou_record","ou_over_pct","ats_pnl","ou_pnl","updated_at"
"Johns Hopkins",8,8,0,0,"8-0",1,8,0,"8-0",1,1,7,0,"1O-7U",0.125,727.28,-609.09,"2026-03-27 06:56"
"Stony Brook",8,6,1,1,"6-1-1",0.857,8,0,"8-0",1,4,3,1,"4O-3U-1P",0.571,445.46,63.64,"2026-03-27 06:56"
"Lehigh",9,6,1,2,"6-1-2",0.857,8,1,"8-1",0.889,2,7,0,"2O-7U",0.222,445.46,-518.18,"2026-03-27 06:56"
"Marquette",8,5,1,2,"5-1-2",0.833,8,0,"8-0",1,3,5,0,"3O-5U",0.375,354.55,-227.27,"2026-03-27 06:56"
"Siena",8,5,1,2,"5-1-2",0.833,8,0,"8-0",1,4,4,0,"4O-4U",0.5,354.55,-36.36,"2026-03-27 06:56"
"UMass Lowell",6,5,1,0,"5-1",0.833,5,1,"5-1",0.833,4,2,0,"4O-2U",0.667,354.55,163.64,"2026-03-27 06:56"
"Massachusetts",10,8,2,0,"8-2",0.8,9,1,"9-1",0.9,9,1,0,"9O-1U",0.9,527.28,718.19,"2026-03-27 06:56"
"Dartmouth",8,6,2,0,"6-2",0.75,7,1,"7-1",0.875,4,4,0,"4O-4U",0.5,345.46,-36.36,"2026-03-27 06:56"
"UAlbany",8,6,2,0,"6-2",0.75,7,1,"7-1",0.875,4,3,1,"4O-3U-1P",0.571,345.46,63.64,"2026-03-27 06:56"
"NJIT",9,6,2,1,"6-2-1",0.75,7,2,"7-2",0.778,6,3,0,"6O-3U",0.667,345.46,245.46,"2026-03-27 06:56"
"Brown",8,6,2,0,"6-2",0.75,6,2,"6-2",0.75,4,3,1,"4O-3U-1P",0.571,345.46,63.64,"2026-03-27 06:56"
"UMBC",7,5,2,0,"5-2",0.714,7,0,"7-0",1,4,2,1,"4O-2U-1P",0.667,254.55,163.64,"2026-03-27 06:56"
"Manhattan",8,5,2,1,"5-2-1",0.714,7,1,"7-1",0.875,2,6,0,"2O-6U",0.25,254.55,-418.18,"2026-03-27 06:56"
"Binghamton",7,5,2,0,"5-2",0.714,6,1,"6-1",0.857,3,4,0,"3O-4U",0.429,254.55,-127.27,"2026-03-27 06:56"
"Hampton",7,5,2,0,"5-2",0.714,6,1,"6-1",0.857,6,1,0,"6O-1U",0.857,254.55,445.46,"2026-03-27 06:56"
"Bellarmine",10,7,3,0,"7-3",0.7,9,1,"9-1",0.9,5,4,1,"5O-4U-1P",0.556,336.37,54.55,"2026-03-27 06:56"
"Quinnipiac",9,6,3,0,"6-3",0.667,8,1,"8-1",0.889,5,3,1,"5O-3U-1P",0.625,245.46,154.55,"2026-03-27 06:56"
"Cleveland St.",7,4,2,1,"4-2-1",0.667,5,2,"5-2",0.714,4,3,0,"4O-3U",0.571,163.64,63.64,"2026-03-27 06:56"
"Loyola Maryland",9,6,3,0,"6-3",0.667,6,3,"6-3",0.667,4,4,1,"4O-4U-1P",0.5,245.46,-36.36,"2026-03-27 06:56"
"Wagner",8,5,3,0,"5-3",0.625,7,1,"7-1",0.875,4,4,0,"4O-4U",0.5,154.55,-36.36,"2026-03-27 06:56"
"Holy Cross",8,5,3,0,"5-3",0.625,6,2,"6-2",0.75,4,4,0,"4O-4U",0.5,154.55,-36.36,"2026-03-27 06:56"
"Mercer",8,5,3,0,"5-3",0.625,6,2,"6-2",0.75,3,5,0,"3O-5U",0.375,154.55,-227.27,"2026-03-27 06:56"
"Villanova",8,5,3,0,"5-3",0.625,6,2,"6-2",0.75,3,4,1,"3O-4U-1P",0.429,154.55,-127.27,"2026-03-27 06:56"
"Merrimack",10,6,4,0,"6-4",0.6,9,1,"9-1",0.9,4,6,0,"4O-6U",0.4,145.46,-236.36,"2026-03-27 06:56"
"Ohio St.",9,4,3,2,"4-3-2",0.571,9,0,"9-0",1,3,6,0,"3O-6U",0.333,63.64,-327.27,"2026-03-27 06:56"
"Detroit Mercy",8,4,3,1,"4-3-1",0.571,7,1,"7-1",0.875,3,5,0,"3O-5U",0.375,63.64,-227.27,"2026-03-27 06:56"
"Michigan",8,4,3,1,"4-3-1",0.571,7,1,"7-1",0.875,4,4,0,"4O-4U",0.5,63.64,-36.36,"2026-03-27 06:56"
"High Point",8,4,3,1,"4-3-1",0.571,6,2,"6-2",0.75,5,3,0,"5O-3U",0.625,63.64,154.55,"2026-03-27 06:56"
"Penn St.",8,4,3,1,"4-3-1",0.571,6,2,"6-2",0.75,3,5,0,"3O-5U",0.375,63.64,-227.27,"2026-03-27 06:56"
"Hobart",7,4,3,0,"4-3",0.571,5,2,"5-2",0.714,5,2,0,"5O-2U",0.714,63.64,254.55,"2026-03-27 06:56"
"Saint Joseph's",7,4,3,0,"4-3",0.571,5,2,"5-2",0.714,3,4,0,"3O-4U",0.429,63.64,-127.27,"2026-03-27 06:56"
"Vermont",7,4,3,0,"4-3",0.571,5,2,"5-2",0.714,4,2,1,"4O-2U-1P",0.667,63.64,163.64,"2026-03-27 06:56"
"Bryant",7,4,3,0,"4-3",0.571,4,3,"4-3",0.571,2,4,1,"2O-4U-1P",0.333,63.64,-218.18,"2026-03-27 06:56"
"Sacred Heart",9,5,4,0,"5-4",0.556,9,0,"9-0",1,4,4,1,"4O-4U-1P",0.5,54.55,-36.36,"2026-03-27 06:56"
"Mount St. Mary's",9,5,4,0,"5-4",0.556,7,2,"7-2",0.778,5,3,1,"5O-3U-1P",0.625,54.55,154.55,"2026-03-27 06:56"
"Virginia",9,5,4,0,"5-4",0.556,7,2,"7-2",0.778,3,6,0,"3O-6U",0.333,54.55,-327.27,"2026-03-27 06:56"
"St. John's (NY)",9,5,4,0,"5-4",0.556,6,3,"6-3",0.667,3,3,3,"3O-3U-3P",0.5,54.55,-27.27,"2026-03-27 06:56"
"Navy",9,5,4,0,"5-4",0.556,5,4,"5-4",0.556,3,6,0,"3O-6U",0.333,54.55,-327.27,"2026-03-27 06:56"
"Iona",12,6,5,1,"6-5-1",0.545,10,2,"10-2",0.833,7,4,1,"7O-4U-1P",0.636,45.46,236.37,"2026-03-27 06:56"
"Duke",8,4,4,0,"4-4",0.5,8,0,"8-0",1,3,4,1,"3O-4U-1P",0.429,-36.36,-127.27,"2026-03-27 06:56"
"North Carolina",9,4,4,1,"4-4-1",0.5,8,1,"8-1",0.889,5,4,0,"5O-4U",0.556,-36.36,54.55,"2026-03-27 06:56"
"Delaware",8,4,4,0,"4-4",0.5,7,1,"7-1",0.875,4,3,1,"4O-3U-1P",0.571,-36.36,63.64,"2026-03-27 06:56"
"Hofstra",8,4,4,0,"4-4",0.5,7,1,"7-1",0.875,7,0,1,"7O-0U-1P",1,-36.36,636.37,"2026-03-27 06:56"
"Penn",8,4,4,0,"4-4",0.5,7,1,"7-1",0.875,4,4,0,"4O-4U",0.5,-36.36,-36.36,"2026-03-27 06:56"
"Georgetown",7,3,3,1,"3-3-1",0.5,6,1,"6-1",0.857,4,2,1,"4O-2U-1P",0.667,-27.27,163.64,"2026-03-27 06:56"
"Monmouth",8,4,4,0,"4-4",0.5,6,2,"6-2",0.75,4,4,0,"4O-4U",0.5,-36.36,-36.36,"2026-03-27 06:56"
"Jacksonville",7,3,3,1,"3-3-1",0.5,5,2,"5-2",0.714,2,4,1,"2O-4U-1P",0.333,-27.27,-218.18,"2026-03-27 06:56"
"Army West Point",9,4,4,1,"4-4-1",0.5,6,3,"6-3",0.667,3,6,0,"3O-6U",0.333,-36.36,-327.27,"2026-03-27 06:56"
